cname abs
partner-integration.ar.indazn.com 988
ums-api.ar.indazn.com 988
segmentation-service-api.discovery.indazn.com 988
startup.core.indazn.com 988
follow-shortcuts.discovery.indazn.com 988
pubby.indazn.com 988
user-profile.ar.indazn.com 986
www.dazn.com 986
cdn.contentful.com 986
favouritesv2.discovery.indazn.com 986
tiered-pricing-offer-service.ar.indazn.com 986
onboarding.indazn.com 986
ott-authz-bff-prod.ar.indazn.com 986
concurrency.playback.indazn.com 986
subscriptions-service.ar.indazn.com 986
event.discovery.indazn.com 984
api.playback.indazn.com 984
drm.playback.indazn.com 984
total-rekall.metrics.indazn.com 982
spolo-public-api-global.acc.indazn.com 950
static.adsafeprotected.com 946
pkg.fe.indazn.com 908
cdn.cookielaw.org 864
rails.discovery.indazn.com 854
images.discovery.indazn.com 854
static.dazndn.com 850
myaccount-bff.ar.indazn.com 846
content-item.discovery.indazn.com 844
cdn.dazn.com 842
youth-protect.discovery.indazn.com 842
resource-strings.acc.indazn.com 838
rail-router.discovery.indazn.com 832
youth-protection.dazn-api.com 830
search.discovery.indazn.com 818
image.discovery.indazn.com 748
time.akamai.com 706
authentication-prod.ar.indazn.com 534
accounts.google.com 486
dcf-de-livedazn.daznedge.net 412
fundingchoicesmessages.google.com 394
features.fe.indazn.com 388
www.google.com 334
safe.dazn.com 320
dce-de-livedazn.daznedge.net 296
images.ctfassets.net 296
expansioneggnog.com 290
www.google.it 278
images.daznservices.com 236
pagead2.googlesyndication.com 222
imasdk.googleapis.com 204
www.googletagmanager.com 200
dcj-ac-live.cdn.indazn.com 116
dce-ak-livedazn.akamaized.net 74
csi.gstatic.com 64
reconditeprison.com 22
dcf-fs-live-dazn-cdn.dazn.com 14
merequartz.com 8
browsec.com 6
tpc.googlesyndication.com 4
d2odm2ltoflhtx.cloudfront.net 4
dcf-ak-livedazn.akamaized.net 4
dce-ac-live.cdn.indazn.com 2
edgedl.me.gvt1.com 2
dce-fs-live-dazn-cdn.dazn.com 2
